grievance_id,text,category
GRV101340,"Eve teasing Adhartal area mein badh gayi hai, mahilaye ghar se nikalne mein dari rehti hain. Sadar naman.",Police & Law and Order
GRV102878,"श्रमिक कार्ड Ranchi में a month से renewal ke liye pending hai, yojnaon ka labh nahi mil raha. Thank you.",Employment & Labour
GRV100497,"Dear officer, सड़क पर बिना बैरिकेड के गड्ढा खोदा गया है Varanasi में, raat mein accident ka khatra hai.",Roads & Infrastructure
GRV100019,"पिछले a month से हमारे इलाके Bhopal में पानी की सप्लाई बंद है, कृपया जल्दी ठीक करवाएं। Please take urgent action.",Water Supply
GRV101868,"Namaste sir, सरकारी स्कूल Raipur में छात्रवृत्ति 3000 रुपए अभी तक नहीं आई। कृपया जल्द कार्रवाई करें।",Education & Schools
GRV100888,"Respected Sir, पेंशन फॉर्म में गलत बैंक खाता नंबर दर्ज हो गया है, कृपया सुधार करें। Sadar naman.",Pension & Provident Fund
GRV102982,"Sir/Madam, आय प्रमाण पत्र Indore कार्यालय से 5 din में नहीं बना, बार बार चक्कर लगवाया जा रहा है। Sadar naman.",Municipal Certificates
GRV100500,"Namaste sir, Road divider Ward 12 mein toota pada hai 3 days se, gaadiyan galat side se overtake kar rahi hain. Kripya jald samadhan karein.",Roads & Infrastructure
GRV102388,KYC update na hone ki wajah se account block ho gaya Sector 7 branch mein.,Banking & Financial Services
GRV102003,"Sir/Madam, New ration card ke liye 1 hafta se apply kiya hai Ward 12 office mein, abhi tak nahi bana.",Ration & Public Distribution System
GRV101911,"Dear officer, Teacher transfer Patna school se 10 din pehle hua tha, replacement abhi tak nahi mila, class khali padi hai. Otherwise we will protest.",Education & Schools
GRV100561,"महोदय, पुल Raipur में टूटा हुआ है, बच्चे स्कूल जाने में डरते हैं, कृपया जल्दी बनवाएं। कृपया जल्द कार्रवाई करें।",Roads & Infrastructure
GRV100073,"Namaste sir, जल आपूर्ति विभाग Jabalpur में शिकायत के बाद भी पानी की लाइन ठीक नहीं कर रहा। Kripya jald samadhan karein.",Water Supply
GRV103096,"Namaste sir, निवास प्रमाण पत्र Sector 7 कार्यालय से बनवाने में 10 din लग गए, अभी तक हाथ में नहीं मिला। Otherwise we will protest.",Municipal Certificates
GRV102392,"Respected Sir, KYC update na hone ki wajah se account block ho gaya Patna branch mein. Bahut pareshaan hain hum log.",Banking & Financial Services
GRV100201,"Namaste sir, Illegal water connection Jaipur mein hone se hamari colony mein paani ka pressure kam ho gaya hai. Please take urgent action.",Water Supply
GRV100381,"Dear officer, Electricity wire loose latak rahi hai Ward 12 mein, accident ka khatra hai, turant thik karwaye. Thank you.",Electricity
GRV100940,"Respected Sir, EPF transfer Madan Mahal regional office se 10 din se atka hai, naya employer wait kar raha hai.",Pension & Provident Fund
GRV100839,"Dear officer, PF withdrawal request 2 hafte se pending h, office se koi response nhi mil raha. Kripya jald samadhan karein.",Pension & Provident Fund
GRV102057,"Sir/Madam, Ration dukan Ranchi mein tay samay par nahi khulti, logo ko baar baar chakkar lagana padta hai.",Ration & Public Distribution System
GRV100401,"नया बिजली कनेक्शन Lucknow में a month से पेंडिंग है, आवेदन के बावजूद बिजली विभाग जवाब नहीं दे रहा। Please take urgent action.",Electricity
