grievance,urgency
"हमारे इलाके में, नाली की सफाई की जरूरत है कृपया कार्रवाई करें",MEDIUM
I want to report that public bench is old and residents are facing problems,LOW
"please help, public bench is old and residents are facing problems",LOW
hamare area mein problem hai ki drinking wter contaminated hai please action lein,CRITICAL
"in our locality, main road is badly damaged for many days",HIGH
"mere ghar ke paas, public toilet kai dino se unusable hai please ise resolve karein",HIGH
"हमारे इलाके में, पार्क की लाइट ठीक से काम नहीं कर रही है",MEDIUM
fire emergency in a government building in our area,CRITICAL
main report karna chahta hoon ki area mein drinking water available nahi hai aur residents ko problem ho rahi hai,HIGH
there is a problem where main road is badly damaged for many days,HIGH
toilet ka door toot gaya hai kai dino se,MEDIUM
मैं शिकायत करना चाहता हूं कि नाली आंशिक रूप से बंद है,MEDIUM
water supply regular nahi hai please ise resolve karein,MEDIUM
"hamare locality mein, park gate ki minor repair chahiye please action lein",LOW
मैं शिकायत करना चाहता हूं कि हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है,HIGH
"please help, drain partially blocked hai aur residents ko problem ho rahi hai",MEDIUM
I want to report that park lights are not working properly please take action,MEDIUM
park ki bench ko paint karna hai aur residents ko problem ho rahi hai,LOW
main road is badly damaged and residents are facing problems,HIGH
नाली आंशिक रूप से बंद है कई दिनों से,MEDIUM
"mere ghar ke paas, scholarship release nahi hui hai aur residents ko problem ho rahi hai",HIGH
I want to report that drain is partially blocked please resolve this,MEDIUM
हमारे इलाके में समस्या है कि सड़क पूरी तरह खराब हो गई है कई दिनों से,HIGH
"कृपया मदद करें, हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कृपया कार्रवाई करें",HIGH
I want to report that no drinking water is available in the area please take action,HIGH
"कृपया कार्रवाई करें, सार्वजनिक बेंच पुरानी है",LOW
"मेरे घर के पास, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया इसे जल्द हल करें",HIGH
I want to report that water supply is irregular for many days,MEDIUM
hamare area mein problem hai ki park railing ki repair chahiye aur residents ko problem ho rahi hai,LOW
hamare area mein problem hai ki damaged road ki wajah se major accident hua hai,CRITICAL
"please help, park gate ki minor repair chahiye hamare area mein",LOW
"mere ghar ke paas, public bench purani hai aur residents ko problem ho rahi hai",LOW
मैं शिकायत करना चाहता हूं कि फुटपाथ में छोटी दरार है कृपया इसे जल्द हल करें,LOW
"please help, park gate needs minor repair for many days",LOW
"please help, drain partially blocked hai please ise resolve karein",MEDIUM
"mere ghar ke paas, damaged rod ki wajah se major accident hua hai please ise resolve karein",CRITICAL
हमारे इलाके में समस्या है कि स्कूल के पास खुला मैनहोल है हमारे इलाके में,CRITICAL
dangerous electric pole girne wala hai,CRITICAL
"hamare locality mein, rod completely damaged ho gayi hai hamare area mein",HIGH
"mere ghar ke paas, rod completely damaged ho gayi hai aur residents ko problem ho rahi hai",HIGH
"near my house, dangerous electric pole is about to fall for many days",CRITICAL
"कृपया कार्रवाई करें, सरकारी इमारत में आग लगने की आपात स्थिति है और लोगों को परेशानी हो रही है",CRITICAL
"near my house, live electric wire has fallen onto the stret please resolve this",CRITICAL
हमारे इलाके में समस्या है कि बच्चे खुले मैनहोल के खतरे में हैं,CRITICAL
"mere ghar ke paas, drinking wter contaminated hai aur residents ko problem ho rahi hai",CRITICAL
garbage bin is overflowing occasionally,MEDIUM
there is a problem where toilet is dirty and unusable and residents are facing problems,HIGH
"please take action, one dustbin is damaged and residents are facing problems",LOW
hamare area mein problem hai ki garbage bin kabhi kabhi overflow ho jata hai hamare area mein,MEDIUM
"हमारे इलाके में, टॉयलेट का दरवाजा टूटा हुआ है और लोगों को परेशानी हो रही है",MEDIUM
hamare area mein problem hai ki park ki bench ko paint karna hai aur residents ko problem ho rahi hai,LOW
I want to report that there is no watr supply in our locality please take action,HIGH
I want to report that public toilet needs repair for many days,MEDIUM
"in our locality, major accident caused by damaged road in our area",CRITICAL
"कृपया कार्रवाई करें, लोग दूषित पानी पी रहे हैं कई दिनों से",CRITICAL
हमारे इलाके में समस्या है कि स्कूल के पास खुला मैनहोल है हमारे इलाके में,CRITICAL
main report karna chahta hoon ki drainage ki cleaning chahiye hamare area mein,MEDIUM
there is a problem where people are drinking contaminated water please resolve this,CRITICAL
"please take action, public toilt needs repair in our area",MEDIUM
मैं शिकायत करना चाहता हूं कि सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है हमारे इलाके में,HIGH
हमारे इलाके में समस्या है कि फुटपाथ में छोटी दरार है हमारे इलाके में,LOW
"कृपया मदद करें, खराब सड़क के कारण बड़ा हादसा हुआ है कृपया इसे जल्द हल करें",CRITICAL
"in our locality, children are exposed to an open manhole",CRITICAL
"near my house, street sign is faded please take action",LOW
main report karna chahta hoon ki drinking water contaminated hai kai dino se,CRITICAL
hamare area mein problem hai ki strete sign faded ho gaya hai aur residents ko problem ho rahi hai,LOW
"please help, name board kharab hai kai dino se",LOW
"कृपया मदद करें, कूड़ेदान कभी-कभी भर जाता है और लोगों को परेशानी हो रही है",MEDIUM
"मेरे घर के पास, नाली आंशिक रूप से बंद है कई दिनों से",MEDIUM
"हमारे इलाके में, पार्क की दीवार पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
"मेरे घर के पास, कई दिनों से कूड़ा नहीं उठाया गया है हमारे इलाके में",HIGH
main report karna chahta hoon ki public building mein fire lagi hai aur residents ko problem ho rahi hai,CRITICAL
मैं शिकायत करना चाहता हूं कि पीने का पानी दूषित है कृपया कार्रवाई करें,CRITICAL
मैं शिकायत करना चाहता हूं कि सार्वजनिक टॉयलेट की मरम्मत करनी है,MEDIUM
"please take action, name board is damaged",LOW
hamare area mein problem hai ki park lights properly kaam nahi kar rahi hain please action lein,MEDIUM
"कृपया कार्रवाई करें, नाम का बोर्ड खराब है कृपया कार्रवाई करें",LOW
hamare area mein problem hai ki road par kai small cracks hain hamare area mein,MEDIUM
मैं शिकायत करना चाहता हूं कि पार्क की रेलिंग की मरम्मत करनी है हमारे इलाके में,LOW
पार्क की बेंच पर पेंट करने की जरूरत है,LOW
"mere ghar ke paas, park ki wall ko paint karna hai please action lein",LOW
"कृपया मदद करें, बच्चे खुले मैनहोल के खतरे में हैं कृपया कार्रवाई करें",CRITICAL
drinking water is contaminated please take action,CRITICAL
"mere ghar ke paas, garbage collection regular nahi hai please action lein",MEDIUM
name board is damaged please take action,LOW
घरों के पास सीवेज का पानी बह रहा है कई दिनों से,HIGH
main report karna chahta hoon ki roaad par exposed electric wire pada hai aur residents ko problem ho rahi hai,CRITICAL
"please action lein, garbage collection regular nahi hai kai dino se",MEDIUM
मैं शिकायत करना चाहता हूं कि बिजली का चालू तार सड़क पर गिर गया है,CRITICAL
"कृपया मदद करें, पार्क की दीवार पर पेंट करने की जरूरत है हमारे इलाके में",LOW
"near my house, gas leak near residential area in our area",CRITICAL
I want to report that many potholes are present on the main road please resolve this,HIGH
"please help, garbage is piling up near residential buildings",HIGH
there is a problem where large potholes are causing problems for vehicles please take action,HIGH
I want to report that footpath has a small crack and residents are facing problems,LOW
park wall needs painting please take action,LOW
"near my house, park lights are not working properly and residents are facing problems",MEDIUM
"कृपया मदद करें, मुख्य सड़क पर बहुत सारे गड्ढे हैं और लोगों को परेशानी हो रही है",HIGH
पार्क की रेलिंग की मरम्मत करनी है और लोगों को परेशानी हो रही है,LOW
damaged road ki wajah se major accident hua hai aur residents ko problem ho rahi hai,CRITICAL
I want to report that park railing needs repair for many days,LOW
"हमारे इलाके में, स्ट्रीट लाइट बार-बार झपक रही है कृपया कार्रवाई करें",MEDIUM
"please action lein, hamare area mein koi street light kaam nahi kar rahi hai aur residents ko problem ho rahi hai",HIGH
I want to report that drainage needs cleaning in our area,MEDIUM
हमारे इलाके में समस्या है कि मुख्य सड़क बहुत खराब हो गई है हमारे इलाके में,HIGH
"please help, park gate needs minor repair please take action",LOW
"हमारे इलाके में, पार्क की दीवार पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
"in our locality, scholarshp has not been released please take action",HIGH
"please help, public washroom is very dirty for many days",HIGH
"mere ghar ke paas, public toilett kai dino se unusable hai kai dino se",HIGH
पार्क की रेलिंग की मरम्मत करनी है कृपया इसे जल्द हल करें,LOW
main report karna chahta hoon ki main road badly damaged hai hamare area mein,HIGH
"कृपया कार्रवाई करें, सरकारी इमारत में आग लगने की आपात स्थिति है हमारे इलाके में",CRITICAL
I want to report that live electric wire has fallen onto the street,CRITICAL
"hamare locality mein, scholarshp release nahi hui hai hamare area mein",HIGH
"near my house, gas leak near residential area please resolve this",CRITICAL
"मेरे घर के पास, कूड़ा उठाने की व्यवस्था नियमित नहीं है",MEDIUM
"please help, log contaminated watr pee rahe hain please action lein",CRITICAL
"hamare locality mein, schoship release nahi hui hai please ise resolve karein",HIGH
हमारे इलाके में समस्या है कि सरकारी इमारत में आग लगने की आपात स्थिति है,CRITICAL
"please help, damaged road ki wajah se major accident hua hai kai dino se",CRITICAL
"कृपया मदद करें, सड़क पूरी तरह खराब हो गई है और लोगों को परेशानी हो रही है",HIGH
"in our locality, road is completely damaged for many days",HIGH
there is a problem where street ligt is flickering and residents are facing problems,MEDIUM
हमारे इलाके में समस्या है कि मुख्य सड़क पर बहुत सारे गड्ढे हैं,HIGH
"please help, road completely damaged ho gayi hai aur residents ko problem ho rahi hai",HIGH
"please action lein, ek dustbin kharab hai",LOW
"कृपया मदद करें, हमारे इलाके में पानी की सप्लाई नहीं है और लोगों को परेशानी हो रही है",HIGH
"कृपया मदद करें, सार्वजनिक इमारत में आग लगी है हमारे इलाके में",CRITICAL
"hamare locality mein, drain partially blocked hai kai dino se",MEDIUM
"मेरे घर के पास, सार्वजनिक इमारत में आग लगी है कई दिनों से",CRITICAL
खतरनाक बिजली का खंभा गिरने वाला है कृपया कार्रवाई करें,CRITICAL
हमारे इलाके में समस्या है कि सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कृपया इसे जल्द हल करें,HIGH
there is a problem where public washroom is very dirty please resolve this,HIGH
hamare area mein problem hai ki park ki wall ko paint karna hai aur residents ko problem ho rahi hai,LOW
"मेरे घर के पास, खराब सड़क के कारण बड़ा हादसा हुआ है और लोगों को परेशानी हो रही है",CRITICAL
"please action lein, toilet ka door toot gaya hai please ise resolve karein",MEDIUM
"please action lein, scholarship application ka status update nahi hua please action lein",MEDIUM
"please action lein, park ki wall ko paint karna hai",LOW
"हमारे इलाके में, पार्क की रेलिंग की मरम्मत करनी है",LOW
"please take action, many potholes are present on the main road and residents are facing problems",HIGH
हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है कई दिनों से,HIGH
garbej bin kabhi kabhi overflow ho jata hai please action lein,MEDIUM
"कृपया कार्रवाई करें, कई दिनों से कूड़ा नहीं उठाया गया है",HIGH
I want to report that park wall needs painting and residents are facing problems,LOW
"please action lein, toilett ka door toot gaya hai kai dino se",MEDIUM
कूड़ा उठाने की व्यवस्था नियमित नहीं है कृपया इसे जल्द हल करें,MEDIUM
"near my house, street sign is faded in our area",LOW
"mere ghar ke paas, stret light flicker kar rahi hai please ise resolve karein",MEDIUM
मैं शिकायत करना चाहता हूं कि कूड़ा उठाने की व्यवस्था नियमित नहीं है,MEDIUM
main rod par sewage water overflow ho raha hai kai dino se,CRITICAL
"please help, park railing needs repair please take action",LOW
there is a problem where sewage is overflowing near houses,HIGH
there is a problem where name board is damaged please resolve this,LOW
"please help, ek dustbin kharab hai aur residents ko problem ho rahi hai",LOW
"please action lein, hamare locality mein water supply nahi hai hamare area mein",HIGH
"मेरे घर के पास, फुटपाथ में छोटी दरार है कृपया इसे जल्द हल करें",LOW
मैं शिकायत करना चाहता हूं कि नाली आंशिक रूप से बंद है हमारे इलाके में,MEDIUM
"hamare locality mein, toilet dirty hai aur use nahi ho sakta please action lein",HIGH
"कृपया कार्रवाई करें, बच्चे खुले मैनहोल के खतरे में हैं कृपया कार्रवाई करें",CRITICAL
"please help, park lights properly kaam nahi kar rahi hain",MEDIUM
toilt ka door toot gaya hai hamare area mein,MEDIUM
"please action lein, park ki bench ko paint karna hai aur residents ko problem ho rahi hai",LOW
"please take action, public bench is old",LOW
garbage has not been collected for many days please take action,HIGH
"in our locality, people are drinking contaminated watr in our area",CRITICAL
"please action lein, name board kharab hai hamare area mein",LOW
"please action lein, public toilett kai dino se unusable hai hamare area mein",HIGH
"mere ghar ke paas, log contaminated water pee rahe hain hamare area mein",CRITICAL
"please help, mere ghar ke paas street light kaam nahi kar rahi hai",MEDIUM
हमारे इलाके में समस्या है कि लोग दूषित पानी पी रहे हैं और लोगों को परेशानी हो रही है,CRITICAL
"please take action, public toilet has been unusable for several days please resolve this",HIGH
I want to report that street light is flickering please resolve this,MEDIUM
"please take action, park gate needs minor repair in our area",LOW
हमारे इलाके में समस्या है कि हमारे इलाके में कोई भी स्ट्रीट लाइट काम नहीं कर रही है,HIGH
"mere ghar ke paas, log contaminated water pee rahe hain hamare area mein",CRITICAL
roaad completely damaged ho gayi hai aur residents ko problem ho rahi hai,HIGH
main report karna chahta hoon ki toilet dirty hai aur use nahi ho sakta hamare area mein,HIGH
